id,first_name,last_name,full_name,height_feet,height_inches,actual_height_ft,position,weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,blk,stl,pf,turnover,pts,TmMP,TmFGA,TmFTA,TmTOV,usage
89,Alex,Caruso,Alex Caruso,6,5,6.416666667,G,186,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,24.9,1.6,4.1,0.39,0.9,2.4,0.375,1.2,1.6,0.75,0.5,2.1,2.6,3.4,0.8,1.3,2,1.8,5.3,247.7,89.9,26,14.5,11.34240553
125,DeMar,DeRozan,DeMar DeRozan,6,7,6.583333333,G,220,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,33.8,8.5,17.2,0.494,0.4,1.5,0.267,8.2,9.1,0.901,0.4,3.5,3.9,4.3,0.4,1.3,2.2,2.2,25.6,247.7,89.9,26,14.5,29.6122115
136,Goran,Dragic,Goran Dragic,6,3,6.25,G,190,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,17.4,3.2,7.6,0.421,1.6,3.2,0.5,1,1.4,0.714,0.2,1.4,1.6,3.4,0.2,0.2,1.3,1.1,9,247.7,89.9,26,14.5,22.89695259
137,Andre,Drummond,Andre Drummond,6,11,6.916666667,C,279,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,10,2.3,4.3,0.535,0,0.2,0,0.8,1.2,0.667,2.2,3.9,6.1,0.5,0.3,0.6,1.7,1.1,5.4,247.7,89.9,26,14.5,25.35161602
247,Derrick,Jones Jr.,Derrick Jones Jr.,6,7,6.583333333,F-G,200,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,11.7,1,2.7,0.37,0.3,0.7,0.429,2.1,2.3,0.913,1.1,1.2,2.3,0.6,0.5,0.4,0.9,0.2,4.4,247.7,89.9,26,14.5,14.2991571
268,Zach,LaVine,Zach LaVine,6,5,6.416666667,G,200,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,23.4,4.8,11.4,0.421,2.2,5.2,0.423,2.7,3.2,0.844,0.2,2.6,2.8,2.8,0.1,0.8,1.3,1.3,14.5,247.7,89.9,26,14.5,25.78380731
460,Nikola,Vucevic,Nikola Vucevic,7,0,7,C,260,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,31.6,5.9,13.3,0.444,1.8,4.5,0.4,2.8,3,0.933,3.3,9,12.3,2.8,0.8,0.3,2.6,2,16.4,247.7,89.9,26,14.5,22.49268961
3112,Ayo,Dosunmu,Ayo Dosunmu,6,4,6.33,G,200,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,30.1,4.5,9.3,0.485,1.3,3.9,0.333,0.9,0.9,0.923,0.5,3.3,3.8,3.1,0.3,0.9,2.4,1.7,11.1,247.7,89.9,26,14.5,16.19136259
3113,Patrick ,Williams,Patrick  Williams,6,7,6.58,F,215,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,25,3.5,7.6,0.465,1.1,2.8,0.381,0.9,0.9,0.929,1.1,2.6,3.7,0.8,1.1,0.7,1.9,1.5,9,247.7,89.9,26,14.5,16.24419337
3114,Javonte,Green,Javonte Green,6,5,6.42,F,205,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,17.3,2.2,4.4,0.5,0.5,1.5,0.348,0.9,1.1,0.765,1.2,2.1,3.3,0.9,0.7,1.1,2.1,0.7,5.8,247.7,89.9,26,14.5,13.80373966
3115,Coby,White,Coby White,6,4,6.33,G,195,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,21.9,3,7.9,0.382,1.4,4.9,0.294,0.7,1.3,0.556,0.1,1.6,1.7,1.7,0,0.7,2,0.9,8.1,247.7,89.9,26,14.5,18.30145501
18,OG,Anunoby,OG Anunoby,6,8,6.666666667,F,232,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,34.43333333,5.67,12,0.472,2,4.89,0.409,2.22,2.67,0.833,1.11,5.22,6.33,1.78,0.89,3.11,3.67,2.11,15.56,234.85,92.51,24.57,12.24,18.04225074
46,Khem,Birch,Khem Birch,6,9,6.75,C,233,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,3.666666667,0.33,0.56,0.6,0.11,0.11,1,0.22,0.22,1,0.33,0.22,0.56,0.11,0.11,0.33,0.89,0.11,1,234.85,92.51,24.57,12.24,8.500034614
58,Chris,Boucher,Chris Boucher,6,10,6.833333333,F,200,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,14.1,3.22,5.44,0.592,1.22,2.44,0.5,0.78,1.22,0.636,1.11,2.11,3.22,0.56,0.67,0.56,2.22,0.44,8.44,234.85,92.51,24.57,12.24,18.49734561
206,Juancho,Hernangomez,Juancho Hernangomez,6,9,6.75,F,230,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,2.55,0,0.22,0,0,0.22,0,0,0,0,0,0.22,0.22,0.22,0.11,0.11,0.22,0.11,0,234.85,92.51,24.57,12.24,5.25997621
376,Otto,Porter Jr.,Otto Porter Jr.,6,8,6.666666667,F,198,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,3.433333333,0.33,0.56,0.6,0.33,0.56,0.6,0.22,0.22,1,0,0.33,0.33,0,0,0.44,0.11,0,1.22,234.85,92.51,24.57,12.24,7.775479749
416,Pascal,Siakam,Pascal Siakam,6,9,6.75,F,230,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,35.66666667,8.89,18.56,0.479,1.44,4.22,0.342,5.56,7.67,0.725,1.78,7.56,9.33,7.67,0.56,0.89,3.11,2.67,24.78,234.85,92.51,24.57,12.24,28.03931094
458,Fred,VanVleet,Fred VanVleet,6,0,6,G,195,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,25.33333333,2.67,7.56,0.353,1.56,4.11,0.378,2,2.33,0.857,0.67,2,2.67,5.11,0.44,1.67,1.78,0.78,8.89,234.85,92.51,24.57,12.24,15.02570089
489,Thaddeus,Young,Thaddeus Young,6,8,6.666666667,F,221,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,5,0.67,1.44,0.462,0.11,0.56,0.2,0.11,0.22,0.5,0.22,0.56,0.78,0.33,0,0.56,0.67,0.22,1.56,234.85,92.51,24.57,12.24,14.28112232
3089,Gary,Trent Jr.,Gary Trent Jr.,6,6,6.5,G,205,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,35.76666667,6.78,15.67,0.433,3,8.33,0.36,2.56,3.22,0.793,0.89,1,1.89,1.22,0.22,1.33,1.11,1,19.11,234.85,92.51,24.57,12.24,20.55385505
3148,Scottie,Barnes,Scottie Barnes,6,7,6.58,F,225,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,32.7,5.7,12.7,0.447,1.2,3.6,0.333,1.2,1.7,0.72,1.9,4.6,6.5,4.9,0.7,0.9,1.5,2.2,13.7,234.85,92.51,24.57,12.24,19.45006716
3149,Malachi,Flynn,Malachi Flynn,6,1,6.08,G,175,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,10.6,2,4.6,0.439,1.2,2.6,0.478,1.1,1.2,0.909,0.1,1.1,1.2,1,0.1,0.3,1.4,0.6,6.3,234.85,92.51,24.57,12.24,21.96378402
3150,Dalano,Banton,Dalano Banton,6,7,6.58,G,204,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,11.2,2.3,5.5,0.427,0.8,2.5,0.324,0.9,1.1,0.875,0.5,0.9,1.4,1.1,0.7,0.6,1.1,0.7,6.4,234.85,92.51,24.57,12.24,24.25651692
3151,Precious,Achiuwa,Precious Achiuwa,6,8,6.67,F,225,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,20.4,3,7.7,0.391,0.4,2.3,0.179,2.3,2.8,0.848,2,5,7,1.3,0.6,0.2,1.6,1.3,8.8,234.85,92.51,24.57,12.24,20.38639264
19,Ryan,Arcidiacono,Ryan Arcidiacono,6,3,6.25,G,200,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,0.216666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,253.4666667,95.53,23.71,13.84,0
73,Jalen,Brunson,Jalen Brunson,6,3,6.25,G,190,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,33.88333333,7.44,15.11,0.493,1.11,3.78,0.294,3.33,4.22,0.789,0.33,3.56,3.89,7.22,0.22,0.89,2.56,1.56,19.33,253.4666667,95.53,23.71,13.84,23.13660413
160,Evan,Fournier,Evan Fournier,6,7,6.583333333,G-F,205,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,21.76666667,3.11,7.78,0.4,1.89,4.89,0.386,0.67,0.78,0.857,0.11,2.33,2.44,1.56,0.22,0.67,2.56,1.11,8.78,253.4666667,95.53,23.71,13.84,17.94922275
201,Isaiah,Hartenstein,Isaiah Hartenstein,7,0,7,F-C,249,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,25.88333333,3.78,6.78,0.557,0.22,1.22,0.182,0.67,0.89,0.75,3.67,5,8.67,1,1.56,0.89,2.67,0.89,8.44,253.4666667,95.53,23.71,13.84,13.17911874
338,Svi,Mykhailiuk,Svi Mykhailiuk,6,8,6.666666667,G,205,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,0.216666667,0.11,0.11,1,0.11,0.11,1,0,0,0,0,0.22,0.22,0,0,0,0,0,0.33,253.4666667,95.53,23.71,13.84,21.48255409
387,Julius,Randle,Julius Randle,6,9,6.75,F,250,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,34,6.56,14.78,0.444,1.11,4.56,0.244,4.67,6.33,0.737,2.56,6.56,9.11,3.33,0.33,0.89,3.67,2.89,18.89,253.4666667,95.53,23.71,13.84,25.45717124
399,Mitchell,Robinson,Mitchell Robinson,7,1,7.083333333,C,240,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,19.33333333,2.56,3.67,0.697,0,0,0,0.67,1.56,0.429,3.11,2.56,5.67,0.89,2,0.33,3.22,0.56,5.78,253.4666667,95.53,23.71,13.84,10.76033524
401,Derrick,Rose,Derrick Rose,6,3,6.25,G,200,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,12.76666667,2.78,6,0.463,1.22,2.56,0.478,0.33,0.33,1,0.33,1.67,2,2.11,0.22,0.22,0.67,1.33,7.11,253.4666667,95.53,23.71,13.84,24.77596782
3140,Cam,Reddish,Cam Reddish,6,8,6.67,F,217,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,23.2,3.4,7.4,0.459,1,3,0.333,1.3,1.5,0.87,0.3,1.5,1.9,1,0.5,0.8,1.7,0.7,9.1,253.4666667,95.53,23.71,13.84,15.97722871
3141,RJ,Barrett,RJ Barrett,6,6,6.5,G,214,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,34,6.5,16.3,0.402,1.5,5.7,0.256,3.8,5.1,0.74,0.9,4.2,5.1,2.9,0.1,0.5,2.2,2.1,18.3,253.4666667,95.53,23.71,13.84,25.69213907
3142,Immanuel,Quickley,Immanuel Quickley,6,3,6.25,G,190,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,22.1,3.1,8.1,0.38,1.1,3.9,0.293,1.6,2,0.8,0.5,4.3,4.8,3.3,0.1,1.3,1.9,1.3,8.9,253.4666667,95.53,23.71,13.84,19.68276792
3143,Quentin ,Grimes,Quentin  Grimes,6,4,6.33,G,210,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,8,0.6,1.8,0.333,0.4,1.6,0.25,0.4,0.4,1,0.2,0.4,0.6,0.4,0.2,0,1.2,0.4,2,253.4666667,95.53,23.71,13.84,12.56729414
3144,Obi ,Toppin,Obi  Toppin,6,9,6.75,F,220,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,18.1,3.7,7.7,0.483,1.7,4.3,0.406,0.6,0.6,1,0.8,3.2,4,1.2,0.2,0.5,0.9,1,9.8,253.4666667,95.53,23.71,13.84,20.95601033
22,Deandre,Ayton,Deandre Ayton,7,1,7.083333333,C,250,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,19.55,5.22,9.11,0.573,0.33,0.67,0.5,1.22,1.67,0.733,1.78,4.33,6.11,1.33,0.44,0.33,3,2,12,217.2666667,76.91,21.79,12.34,26.63678935
48,Bismack,Biyombo,Bismack Biyombo,6,9,6.75,C,255,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,11.21666667,1.33,2.33,0.571,0,0,0,0.56,0.89,0.625,0.67,2.56,3.22,0.44,1.78,0,1.67,0.67,3.22,217.2666667,76.91,21.79,12.34,13.29357281
57,Devin,Booker,Devin Booker,6,6,6.5,G,210,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,35.55,9.67,20,0.483,2.22,6.33,0.351,5.44,6.22,0.875,0.67,3.22,3.89,5.11,0.56,0.89,2.33,2.67,27,217.2666667,76.91,21.79,12.34,31.42036817
